,Event,Dates,Location,Description
2734,Shine Light Show at Coolray Field,2022-12-12,Coolray Field,"Making its debut at Coolray Field in Lawrenceville, GA this holiday season, Shine Light Show…"
2735,Igloos on The Roof,2022-12-12,Ponce City Market,"It’s the most wonderful time of the year! Reserve one of our cozy, private igloos,…"
2736,Holiday Lights at Brook Run Park,2022-12-12,Brook Run Park,
2737,Skate the Sky,2022-12-12,The Roof at Ponce City Market,"Back for a sixth year, The Roof at Ponce City Market invites guest to ‘Skate…"
2738,Author Talk | Douglas Brinkley,2022-12-12,Atlanta History Center,New York Times bestselling author and acclaimed presidential historian Douglas Brinkley chronicles the rise of…
2739,The Veranda Jewel Box,2022-12-12,Buckhead Village,Buckhead Village will welcome guests to step into a whimsical and immersive “jewel box” at…
2740,Skate the Station,2022-12-12,Atlantic Station,Get into the holiday spirit at Atlanta’s largest ice-skating rink at Atlantic Station! Skate the…
2741,Nan Griffith’s Murmurations/Migrations Mixed Media,2022-12-12,Alpharetta Arts Center,Nan Griffith shares a new and prolific period in her artistic journey. In an expression…
2742,Holiday in the Park,2022-12-12,Six Flags Over Georgia,Celebrate the holiday season with a symphony of music and dancing lights. See the Christmas…
2743,Celebration at the Station,2022-12-12,Atlantic Green,Start a new holiday tradition with friends and family and gather around the dazzling tree…
2744,Castleberry Farmers Market,2022-12-12,Castleberry Farmers Market,"Local unique weekday farmers market that features an array of farmers, bakers, artisans and other…"
2745,Reindeer Road by World of Illumination,2022-12-12,Six Flags WHITE WATER,A merrily magical journey Grab your sled and join World of Illumination on a trek…
2746,World of Illumination,2022-12-12,Six Flags WHITE WATER,"World of Illumination brings a holiday light show, Reindeer Road, to Six Flags White Water…."
2747,The Rink Powered By Pepsi Zero at Park Tavern,2022-12-12,Park Tavern,The Rink Powered By Pepsi Zero Opens Thanksgiving Weekend & Will Be Open Through MLK…
2748,WildWoods AGLOW,2022-12-12,Fernbank Museum of Natural History,"This all-new, limited-run nighttime experience offers a different experience within WildWoods, a 10-acre natural habitat…"
2749,Giant Panda Wild Encounter,2022-12-12,Zoo Atlanta,Meet and feed one of Zoo Atlanta’s world-famous black-and-white bears during an exclusive behind-the-scenes encounter…
2750,Elephant Wild Encounter,2022-12-12,Zoo Atlanta,"No creature looms larger over the savanna than the African elephant, and you’ll agree when you…"
2751,Yu-Gi-Oh! Mondays,2022-12-12,Caffeinated Gamers,Official (but friendly) Event! We have Yu-Gi-Oh! tournaments every Monday. This event is good for…
2752,“In Hope for a Better Future” Art Exhibition,2022-12-12,Hammonds House Museum,Hammonds House Museum closes out 2022 with a dynamic multi-medium exhibition by Atlanta-based artist Tracy…
2753,Waking Wonderland: An Immersive Experience,2022-12-13,Illuminarium Atlanta,"Waking Wonderland is an interactive adventure that invites you on a dreamlike journey, inspired by…"
2754,Holiday Tree Market in the Courtyard,2022-12-13,Ponce City Market,"Deck the halls with a holiday tree, garland and wreaths from Ponce City Market! Tradition…"
2755,Claude Monet Immersive Exhibit,2022-12-13,"Exhibition Hub, Atlanta Art Center",Have you ever dreamt of stepping into a painting? Embark on an astonishing journey through…
2756,Holiday Catering with Grecian Gyro,2022-12-13,Multiple Locations,Share the gift of Grecian Gyro with all this holiday season! The Koulouris family and…
2757,The Rink at Park Tavern,2022-12-13,Park Tavern,"This holiday season, Park Tavern in Piedmont Park is bringing back the power of miracles,…"
2758,Igloos on The Roof,2022-12-13,Ponce City Market,"It’s the most wonderful time of the year! Reserve one of our cozy, private igloos,…"
2759,Spruill Gallery Holiday Artists Market,2022-12-13,Spruill Gallery,"This well-loved Holiday Artist’s Market kicks off on Nov. 16 with high quality, handcrafted goods…"
2760,Holiday in the Park,2022-12-13,Six Flags Over Georgia,Celebrate the holiday season with a symphony of music and dancing lights. See the Christmas…
2761,Stephen Burks Shelter in Place,2022-12-13,High Museum of Art,"In the wake of several global crises, designers have responded by redefining our relationship to…"
2762,Harry Potter: The Exhibition,2022-12-13,Purchase tickets online,Harry Potter: The Exhibition will make its second stop on its North American tour in…
2763,Stranger Things: The Experience,2022-12-13,Pullman Yards,Stranger Things: The Experience is an immersive in Atlanta based on the iconic Netflix show….
2764,Skate the Station,2022-12-13,Atlantic Station,Get into the holiday spirit at Atlanta’s largest ice-skating rink at Atlantic Station! Skate the…
2765,Cirque Musica: Holiday Wonderland,2022-12-13,State Farm Arena,Cirque Musica: Holiday Wonderland is a must-see holiday event to usher in the magic of…
2766,The Hip Hop Nutcracker,2022-12-13,Fox Theatre,"A unique and joyful holiday mash-up for the whole family, THE HIP HOP NUTCRACKER is…"
2767,The Veranda Jewel Box,2022-12-13,Buckhead Village,Buckhead Village will welcome guests to step into a whimsical and immersive “jewel box” at…
2768,Nan Griffith’s Murmurations/Migrations Mixed Media,2022-12-13,Alpharetta Arts Center,Nan Griffith shares a new and prolific period in her artistic journey. In an expression…
2769,CFHOF Honors 2022 Inductees with New Exhibit,2022-12-13,Chick-fil-A College Football Hall of Fame,
2770,The Rink Powered By Pepsi Zero at Park Tavern,2022-12-13,Park Tavern,The Rink Powered By Pepsi Zero Opens Thanksgiving Weekend & Will Be Open Through MLK…
2771,Celebration at the Station,2022-12-13,Atlantic Green,Start a new holiday tradition with friends and family and gather around the dazzling tree…
2772,Illuminights at the Zoo: Chinese Lantern Festival,2022-12-13,Zoo Atlanta,Atlanta’s newest holiday tradition is back and better than ever. Zoo Atlanta partners with Hanart…
2773,Mingle & Jingle Christmas Bar,2022-12-13,Best End Brewery,We’re welcoming back the very FIRST & ONLY pop-up Christmas Bar in the West End…
2774,Deana Lawson Exhibit,2022-12-13,High Museum of Art,"Featuring work made over the past two decades, this exhibition is the first museum survey…"
2775,Reindeer Road by World of Illumination,2022-12-13,Six Flags WHITE WATER,A merrily magical journey Grab your sled and join World of Illumination on a trek…
2776,Shine Light Show at Coolray Field,2022-12-13,Coolray Field,"Making its debut at Coolray Field in Lawrenceville, GA this holiday season, Shine Light Show…"
2777,WildWoods AGLOW,2022-12-13,Fernbank Museum of Natural History,"This all-new, limited-run nighttime experience offers a different experience within WildWoods, a 10-acre natural habitat…"
2778,Rudolph the Red-Nosed Reindeer,2022-12-13,Center For Puppetry Arts,A Holiday Classic Returns to the Stage Based on the classic television special Adapted by…
2779,FIFA World Cup 2022™ Watch Parties,2022-12-13,Multiple Locations,"Throughout the 2022 FIFA World Cup™, Atlanta United will be taking over local pubs to…"
2780,World of Illumination,2022-12-13,Six Flags WHITE WATER,"World of Illumination brings a holiday light show, Reindeer Road, to Six Flags White Water…."
2781,“In Hope for a Better Future” Art Exhibition,2022-12-13,Hammonds House Museum,Hammonds House Museum closes out 2022 with a dynamic multi-medium exhibition by Atlanta-based artist Tracy…
2782,The Colors of Peace Exhibit,2022-12-13,Jimmy Carter Presidential Library & Museum,"Bringing together 270+ artworks created by children from around the world, the exhibition is a…"
2783,$1 Happy Hour Oysters,2022-12-13,Biggerstaff Brewing Company,
2784,Harry Potter Trivia Series,2022-12-13,Best End Brewery,Each month we quiz fans over one book from the Harry Potter series. Try our…
2785,Holiday Lights at Brook Run Park,2022-12-13,Brook Run Park,
2786,"Garden Lights, Holiday Nights",2022-12-13,"Atlanta Botanical Garden, Inc.","The 12th annual Garden Lights, Holiday Nights shines Nov. 12, 2022 – Jan. 14, 2023…."
2787,PAW Patrol: Adventure Play,2022-12-13,Children’s Museum of Atlanta,"Adventure Bay is coming to CMA! PAW Patrol: Adventure Play opens Saturday, September 24. Join…"
2788,Winter Wonderland at Fernbank,2022-12-13,Fernbank Museum of Natural History,"Travel the world and embrace rich holiday traditions during Fernbank’s annual holiday exhibit, Winter Wonderland:…"
2789,Igloos on the Roof,2022-12-13,9 Mile Station,"Cozy up this holiday season in private, six-person igloos on Ponce City Market’s Roof, located…"
2790,Skate the Sky,2022-12-13,The Roof at Ponce City Market,"Back for a sixth year, The Roof at Ponce City Market invites guest to ‘Skate…"
2791,“In Hope for a Better Future” Art Exhibition,2022-12-14,Hammonds House Museum,Hammonds House Museum closes out 2022 with a dynamic multi-medium exhibition by Atlanta-based artist Tracy…
2792,Skate the Sky,2022-12-14,The Roof at Ponce City Market,"Back for a sixth year, The Roof at Ponce City Market invites guest to ‘Skate…"
2793,World of Illumination,2022-12-14,Six Flags WHITE WATER,"World of Illumination brings a holiday light show, Reindeer Road, to Six Flags White Water…."
2794,Nan Griffith’s Murmurations/Migrations Mixed Media,2022-12-14,Alpharetta Arts Center,Nan Griffith shares a new and prolific period in her artistic journey. In an expression…
2795,Finely Crafted: Cocktails and Comedy,2022-12-14,Atlanta,
2796,FIFA World Cup 2022™ Watch Parties,2022-12-14,Multiple Locations,"Throughout the 2022 FIFA World Cup™, Atlanta United will be taking over local pubs to…"
2797,CFHOF Honors 2022 Inductees with New Exhibit,2022-12-14,Chick-fil-A College Football Hall of Fame,
2798,Dungeons and Dragons One Shot Adventure Wednesdays,2022-12-14,Caffeinated Gamers,"Whether you’re an experienced adventurer or have never played D&D, this is the event for…"
2799,The Rink Powered By Pepsi Zero at Park Tavern,2022-12-14,Park Tavern,The Rink Powered By Pepsi Zero Opens Thanksgiving Weekend & Will Be Open Through MLK…
2800,Claude Monet Immersive Exhibit,2022-12-14,"Exhibition Hub, Atlanta Art Center",Have you ever dreamt of stepping into a painting? Embark on an astonishing journey through…
2801,Rudolph the Red-Nosed Reindeer,2022-12-14,Center For Puppetry Arts,A Holiday Classic Returns to the Stage Based on the classic television special Adapted by…
2802,A Christmas Carol,2022-12-14,Alliance Theatre,The Alliance Theatre’s beloved production A CHRISTMAS CAROL returns to The Coca-Cola Stage with its…
2803,Illuminights at the Zoo: Chinese Lantern Festival,2022-12-14,Zoo Atlanta,Atlanta’s newest holiday tradition is back and better than ever. Zoo Atlanta partners with Hanart…
2804,Biggerstaff Brewing Company Trivia,2022-12-14,Biggerstaff Brewing Company,"Awesome Trivia with 1st, 2nd and 3rd place prizes with Biggerstaff Brewing Company!"
2805,Deana Lawson Exhibit,2022-12-14,High Museum of Art,"Featuring work made over the past two decades, this exhibition is the first museum survey…"
2806,Cirque Du Soleil – Kurios,2022-12-14,Atlantic Station,"Critically acclaimed the world over, KURIOS—Cabinet of curiosities astonishingly revisits the signature Cirque du Soleil…"
2807,Fall HomeSchool Academy at Zoo Atlanta,2022-12-14,Zoo Atlanta,JOIN ZOO ATLANTA FOR A MORNING OF LEARNING AND DISCOVERY DESIGNED SPECIFICALLY FOR HOMESCHOOL STUDENTS! …
2808,Igloos on the Roof,2022-12-14,9 Mile Station,"Cozy up this holiday season in private, six-person igloos on Ponce City Market’s Roof, located…"
2809,WildWoods AGLOW,2022-12-14,Fernbank Museum of Natural History,"This all-new, limited-run nighttime experience offers a different experience within WildWoods, a 10-acre natural habitat…"
2810,The Veranda Jewel Box,2022-12-14,Buckhead Village,Buckhead Village will welcome guests to step into a whimsical and immersive “jewel box” at…
2811,Winter Wonderland at Fernbank,2022-12-14,Fernbank Museum of Natural History,"Travel the world and embrace rich holiday traditions during Fernbank’s annual holiday exhibit, Winter Wonderland:…"
2812,The Colors of Peace Exhibit,2022-12-14,Jimmy Carter Presidential Library & Museum,"Bringing together 270+ artworks created by children from around the world, the exhibition is a…"
2813,Gurl Mobb Museum- Selfie museum in Atlanta,2022-12-14,Gurl Mobb Museum,Atlanta’s ULTIMATE SELFIE MUSEUM FOR GIRL BOSSES! 20 Pluses Content Rooms
2814,Holiday in the Park,2022-12-14,Six Flags Over Georgia,Celebrate the holiday season with a symphony of music and dancing lights. See the Christmas…
2815,PAW Patrol: Adventure Play,2022-12-14,Children’s Museum of Atlanta,"Adventure Bay is coming to CMA! PAW Patrol: Adventure Play opens Saturday, September 24. Join…"
2816,Igloos on The Roof,2022-12-14,Ponce City Market,"It’s the most wonderful time of the year! Reserve one of our cozy, private igloos,…"
2817,Mingle & Jingle Christmas Bar,2022-12-14,Best End Brewery,We’re welcoming back the very FIRST & ONLY pop-up Christmas Bar in the West End…
2818,Spruill Gallery Holiday Artists Market,2022-12-14,Spruill Gallery,"This well-loved Holiday Artist’s Market kicks off on Nov. 16 with high quality, handcrafted goods…"
2819,"Garden Lights, Holiday Nights",2022-12-14,"Atlanta Botanical Garden, Inc.","The 12th annual Garden Lights, Holiday Nights shines Nov. 12, 2022 – Jan. 14, 2023…."
2820,Reindeer Road by World of Illumination,2022-12-14,Six Flags WHITE WATER,A merrily magical journey Grab your sled and join World of Illumination on a trek…
2821,Stephen Burks Shelter in Place,2022-12-14,High Museum of Art,"In the wake of several global crises, designers have responded by redefining our relationship to…"
2822,Holiday Catering with Grecian Gyro,2022-12-14,Multiple Locations,Share the gift of Grecian Gyro with all this holiday season! The Koulouris family and…
2823,Harry Potter: The Exhibition,2022-12-14,Purchase tickets online,Harry Potter: The Exhibition will make its second stop on its North American tour in…
2824,Holiday Lights at Brook Run Park,2022-12-14,Brook Run Park,
2825,Atlanta Gladiators vs. South Carolina Stingrays,2022-12-14,Gas South Arena,
2826,Holiday Tree Market in the Courtyard,2022-12-14,Ponce City Market,"Deck the halls with a holiday tree, garland and wreaths from Ponce City Market! Tradition…"
2827,Skate the Station,2022-12-14,Atlantic Station,Get into the holiday spirit at Atlanta’s largest ice-skating rink at Atlantic Station! Skate the…
2828,Waking Wonderland: An Immersive Experience,2022-12-14,Illuminarium Atlanta,"Waking Wonderland is an interactive adventure that invites you on a dreamlike journey, inspired by…"
2829,Wednesday Night Laughs,2022-12-14,The Original Hot Dog Factory,Free Weekly Comedy Show 7P – 9P Hosted by More Than Cultr’s Own Kamal The…
2830,Stranger Things: The Experience,2022-12-14,Pullman Yards,Stranger Things: The Experience is an immersive in Atlanta based on the iconic Netflix show….
2831,Shine Light Show at Coolray Field,2022-12-14,Coolray Field,"Making its debut at Coolray Field in Lawrenceville, GA this holiday season, Shine Light Show…"
2832,Celebration at the Station,2022-12-14,Atlantic Green,Start a new holiday tradition with friends and family and gather around the dazzling tree…
2833,The Rink at Park Tavern,2022-12-14,Park Tavern,"This holiday season, Park Tavern in Piedmont Park is bringing back the power of miracles,…"
2834,Holiday Tree Market in the Courtyard,2022-12-15,Ponce City Market,"Deck the halls with a holiday tree, garland and wreaths from Ponce City Market! Tradition…"
2835,Holiday in the Park,2022-12-15,Six Flags Over Georgia,Celebrate the holiday season with a symphony of music and dancing lights. See the Christmas…
2836,Igloos on the Roof,2022-12-15,9 Mile Station,"Cozy up this holiday season in private, six-person igloos on Ponce City Market’s Roof, located…"
2837,Waking Wonderland: An Immersive Experience,2022-12-15,Illuminarium Atlanta,"Waking Wonderland is an interactive adventure that invites you on a dreamlike journey, inspired by…"
2838,"$5 Pints, $10 Crowlers ALL DAY",2022-12-15,Biggerstaff Brewing Company,3 beer options and they change every week! Special runs ALL DAY! $5 Select Pints…
2839,Cirque Du Soleil – Kurios,2022-12-15,Atlantic Station,"Critically acclaimed the world over, KURIOS—Cabinet of curiosities astonishingly revisits the signature Cirque du Soleil…"
2840,FIFA World Cup 2022™ Watch Parties,2022-12-15,Multiple Locations,"Throughout the 2022 FIFA World Cup™, Atlanta United will be taking over local pubs to…"
2841,World of Illumination,2022-12-15,Six Flags WHITE WATER,"World of Illumination brings a holiday light show, Reindeer Road, to Six Flags White Water…."
2842,Shine Light Show at Coolray Field,2022-12-15,Coolray Field,"Making its debut at Coolray Field in Lawrenceville, GA this holiday season, Shine Light Show…"
2843,PAW Patrol: Adventure Play,2022-12-15,Children’s Museum of Atlanta,"Adventure Bay is coming to CMA! PAW Patrol: Adventure Play opens Saturday, September 24. Join…"
2844,Winter Wonderland at Fernbank,2022-12-15,Fernbank Museum of Natural History,"Travel the world and embrace rich holiday traditions during Fernbank’s annual holiday exhibit, Winter Wonderland:…"
2845,Comedy at Wylie Hotel,2022-12-15,Wylie Hotel,"Join Comedian Damon Sumner as he hosts a hilarious comedy night, at the Wylie Hotel–…"
2846,Skate the Sky,2022-12-15,The Roof at Ponce City Market,"Back for a sixth year, The Roof at Ponce City Market invites guest to ‘Skate…"
2847,Deana Lawson Exhibit,2022-12-15,High Museum of Art,"Featuring work made over the past two decades, this exhibition is the first museum survey…"
2848,Midtown Atlanta Food and Cocktail Tour,2022-12-15,Saint Mark United Methodist Church,Indulge in an eclectic array of cuisine & cocktails on this insider’s walking food &…
2849,Reindeer Road by World of Illumination,2022-12-15,Six Flags WHITE WATER,A merrily magical journey Grab your sled and join World of Illumination on a trek…
2850,Claude Monet Immersive Exhibit,2022-12-15,"Exhibition Hub, Atlanta Art Center",Have you ever dreamt of stepping into a painting? Embark on an astonishing journey through…
2851,Harry Potter: The Exhibition,2022-12-15,Purchase tickets online,Harry Potter: The Exhibition will make its second stop on its North American tour in…
2852,Skate the Station,2022-12-15,Atlantic Station,Get into the holiday spirit at Atlanta’s largest ice-skating rink at Atlantic Station! Skate the…
2853,Nan Griffith’s Murmurations/Migrations Mixed Media,2022-12-15,Alpharetta Arts Center,Nan Griffith shares a new and prolific period in her artistic journey. In an expression…
2854,The Rink Powered By Pepsi Zero at Park Tavern,2022-12-15,Park Tavern,The Rink Powered By Pepsi Zero Opens Thanksgiving Weekend & Will Be Open Through MLK…
2855,CFHOF Honors 2022 Inductees with New Exhibit,2022-12-15,Chick-fil-A College Football Hall of Fame,
2856,Illuminights at the Zoo: Chinese Lantern Festival,2022-12-15,Zoo Atlanta,Atlanta’s newest holiday tradition is back and better than ever. Zoo Atlanta partners with Hanart…
2857,Celebration at the Station,2022-12-15,Atlantic Green,Start a new holiday tradition with friends and family and gather around the dazzling tree…
2858,Spruill Gallery Holiday Artists Market,2022-12-15,Spruill Gallery,"This well-loved Holiday Artist’s Market kicks off on Nov. 16 with high quality, handcrafted goods…"
2859,WildWoods AGLOW,2022-12-15,Fernbank Museum of Natural History,"This all-new, limited-run nighttime experience offers a different experience within WildWoods, a 10-acre natural habitat…"
2860,“In Hope for a Better Future” Art Exhibition,2022-12-15,Hammonds House Museum,Hammonds House Museum closes out 2022 with a dynamic multi-medium exhibition by Atlanta-based artist Tracy…
2861,The Rink at Park Tavern,2022-12-15,Park Tavern,"This holiday season, Park Tavern in Piedmont Park is bringing back the power of miracles,…"
2862,"iHeartRadio Jingle Ball: Sam Smith, Pitbull, AJR",2022-12-15,State Farm Arena,"Get ready to celebrate the holidays in the best way, because the iHeartRadio Jingle Ball…"
2863,Homeschool Day | Holidays During War,2022-12-15,Atlanta History Center,"While we have many different holiday traditions, have you ever thought about how the holidays…"
2864,Holiday Catering with Grecian Gyro,2022-12-15,Multiple Locations,Share the gift of Grecian Gyro with all this holiday season! The Koulouris family and…
2865,"Garden Lights, Holiday Nights",2022-12-15,"Atlanta Botanical Garden, Inc.","The 12th annual Garden Lights, Holiday Nights shines Nov. 12, 2022 – Jan. 14, 2023…."
2866,Mingle & Jingle Christmas Bar,2022-12-15,Best End Brewery,We’re welcoming back the very FIRST & ONLY pop-up Christmas Bar in the West End…
2867,Gurl Mobb Museum- Selfie museum in Atlanta,2022-12-15,Gurl Mobb Museum,Atlanta’s ULTIMATE SELFIE MUSEUM FOR GIRL BOSSES! 20 Pluses Content Rooms
2868,The Colors of Peace Exhibit,2022-12-15,Jimmy Carter Presidential Library & Museum,"Bringing together 270+ artworks created by children from around the world, the exhibition is a…"
2869,Igloos on The Roof,2022-12-15,Ponce City Market,"It’s the most wonderful time of the year! Reserve one of our cozy, private igloos,…"
2870,Starry Nights on The Spur,2022-12-15,The Works,Spread some holiday cheer at Starry Nights on The Spur! Enjoy a vibrant lineup of…
2871,Holiday Lights at Brook Run Park,2022-12-15,Brook Run Park,
2872,Stranger Things: The Experience,2022-12-15,Pullman Yards,Stranger Things: The Experience is an immersive in Atlanta based on the iconic Netflix show….
2873,Rudolph the Red-Nosed Reindeer,2022-12-15,Center For Puppetry Arts,A Holiday Classic Returns to the Stage Based on the classic television special Adapted by…
2874,Stephen Burks Shelter in Place,2022-12-15,High Museum of Art,"In the wake of several global crises, designers have responded by redefining our relationship to…"
2875,The Veranda Jewel Box,2022-12-15,Buckhead Village,Buckhead Village will welcome guests to step into a whimsical and immersive “jewel box” at…
2876,Elephant Wild Encounter,2022-12-16,Zoo Atlanta,"No creature looms larger over the savanna than the African elephant, and you’ll agree when you…"
2877,Skate the Station,2022-12-16,Atlantic Station,Get into the holiday spirit at Atlanta’s largest ice-skating rink at Atlantic Station! Skate the…
2878,Skate the Sky,2022-12-16,The Roof at Ponce City Market,"Back for a sixth year, The Roof at Ponce City Market invites guest to ‘Skate…"
2879,The Rink at Park Tavern,2022-12-16,Park Tavern,"This holiday season, Park Tavern in Piedmont Park is bringing back the power of miracles,…"
2880,A Christmas Carol,2022-12-16,Alliance Theatre,The Alliance Theatre’s beloved production A CHRISTMAS CAROL returns to The Coca-Cola Stage with its…
2881,Deana Lawson Exhibit,2022-12-16,High Museum of Art,"Featuring work made over the past two decades, this exhibition is the first museum survey…"
2882,Igloos on The Roof,2022-12-16,Ponce City Market,"It’s the most wonderful time of the year! Reserve one of our cozy, private igloos,…"
2883,Giant Panda Wild Encounter,2022-12-16,Zoo Atlanta,Meet and feed one of Zoo Atlanta’s world-famous black-and-white bears during an exclusive behind-the-scenes encounter…
2884,Atlanta Gladiators vs. Greenville Swamp Rabbits,2022-12-16,Gas South Arena,
2885,Atlanta Ballet – The Nutcracker,2022-12-16,Cobb Energy Performing Arts Centre,Atlanta Ballet will return to the Cobb Energy Centre stage with it’s groundbreaking production of…
2886,Aldabra Tortoise Wild Encounter,2022-12-16,Zoo Atlanta,Meet the ancient giants of Aldabra Atoll. See and feed one of the world’s largest living tortoise species in…
2887,Harry Potter: The Exhibition,2022-12-16,Purchase tickets online,Harry Potter: The Exhibition will make its second stop on its North American tour in…
2888,Spruill Gallery Holiday Artists Market,2022-12-16,Spruill Gallery,"This well-loved Holiday Artist’s Market kicks off on Nov. 16 with high quality, handcrafted goods…"
2889,Illuminights at the Zoo: Chinese Lantern Festival,2022-12-16,Zoo Atlanta,Atlanta’s newest holiday tradition is back and better than ever. Zoo Atlanta partners with Hanart…
2890,Holiday Catering with Grecian Gyro,2022-12-16,Multiple Locations,Share the gift of Grecian Gyro with all this holiday season! The Koulouris family and…
2891,Stephen Burks Shelter in Place,2022-12-16,High Museum of Art,"In the wake of several global crises, designers have responded by redefining our relationship to…"
2892,Winter Wonderland at Fernbank,2022-12-16,Fernbank Museum of Natural History,"Travel the world and embrace rich holiday traditions during Fernbank’s annual holiday exhibit, Winter Wonderland:…"
2893,Reindeer Road by World of Illumination,2022-12-16,Six Flags WHITE WATER,A merrily magical journey Grab your sled and join World of Illumination on a trek…
2894,CFHOF Honors 2022 Inductees with New Exhibit,2022-12-16,Chick-fil-A College Football Hall of Fame,
2895,Nan Griffith’s Murmurations/Migrations Mixed Media,2022-12-16,Alpharetta Arts Center,Nan Griffith shares a new and prolific period in her artistic journey. In an expression…
2896,Claude Monet Immersive Exhibit,2022-12-16,"Exhibition Hub, Atlanta Art Center",Have you ever dreamt of stepping into a painting? Embark on an astonishing journey through…
2897,Stranger Things: The Experience,2022-12-16,Pullman Yards,Stranger Things: The Experience is an immersive in Atlanta based on the iconic Netflix show….
2898,The Rink Powered By Pepsi Zero at Park Tavern,2022-12-16,Park Tavern,The Rink Powered By Pepsi Zero Opens Thanksgiving Weekend & Will Be Open Through MLK…
2899,The Veranda Jewel Box,2022-12-16,Buckhead Village,Buckhead Village will welcome guests to step into a whimsical and immersive “jewel box” at…
2900,Coca-Cola Fan Experience,2022-12-16,International Plaza at Georgia World Congress Center,"The Coca-Cola Fan Experience consists of music, band jamborees, food, drinks and special sponsor giveaways…."
2901,“In Hope for a Better Future” Art Exhibition,2022-12-16,Hammonds House Museum,Hammonds House Museum closes out 2022 with a dynamic multi-medium exhibition by Atlanta-based artist Tracy…
2902,Mingle & Jingle Christmas Bar,2022-12-16,Best End Brewery,We’re welcoming back the very FIRST & ONLY pop-up Christmas Bar in the West End…
2903,World of Illumination,2022-12-16,Six Flags WHITE WATER,"World of Illumination brings a holiday light show, Reindeer Road, to Six Flags White Water…."
2904,Waking Wonderland: An Immersive Experience,2022-12-16,Illuminarium Atlanta,"Waking Wonderland is an interactive adventure that invites you on a dreamlike journey, inspired by…"
2905,FIFA World Cup 2022™ Watch Parties,2022-12-16,Multiple Locations,"Throughout the 2022 FIFA World Cup™, Atlanta United will be taking over local pubs to…"
2906,Holiday Lights at Brook Run Park,2022-12-16,Brook Run Park,
2907,Holiday Sequel: A New Improv Comedy,2022-12-16,Village Theatre,Do you have a favorite holiday movie? Ever wish you could pitch the sequel? Well…
2908,Rudolph the Red-Nosed Reindeer,2022-12-16,Center For Puppetry Arts,A Holiday Classic Returns to the Stage Based on the classic television special Adapted by…
2909,Holiday Tree Market in the Courtyard,2022-12-16,Ponce City Market,"Deck the halls with a holiday tree, garland and wreaths from Ponce City Market! Tradition…"
2910,"Garden Lights, Holiday Nights",2022-12-16,"Atlanta Botanical Garden, Inc.","The 12th annual Garden Lights, Holiday Nights shines Nov. 12, 2022 – Jan. 14, 2023…."
2911,Shine Light Show at Coolray Field,2022-12-16,Coolray Field,"Making its debut at Coolray Field in Lawrenceville, GA this holiday season, Shine Light Show…"
2912,PAW Patrol: Adventure Play,2022-12-16,Children’s Museum of Atlanta,"Adventure Bay is coming to CMA! PAW Patrol: Adventure Play opens Saturday, September 24. Join…"
2913,WildWoods AGLOW,2022-12-16,Fernbank Museum of Natural History,"This all-new, limited-run nighttime experience offers a different experience within WildWoods, a 10-acre natural habitat…"
2914,The Colors of Peace Exhibit,2022-12-16,Jimmy Carter Presidential Library & Museum,"Bringing together 270+ artworks created by children from around the world, the exhibition is a…"
2915,Midtown Atlanta Food and Cocktail Tour,2022-12-16,Saint Mark United Methodist Church,Indulge in an eclectic array of cuisine & cocktails on this insider’s walking food &…
2916,Cirque Du Soleil – Kurios,2022-12-16,Atlantic Station,"Critically acclaimed the world over, KURIOS—Cabinet of curiosities astonishingly revisits the signature Cirque du Soleil…"
2917,Celebration at the Station,2022-12-16,Atlantic Green,Start a new holiday tradition with friends and family and gather around the dazzling tree…
2918,Thievery Corporation Live In Concert,2022-12-16,The Tabernacle,Electronic duo Thievery Corporation will be touring across America again later in 2022 promoting their…
2919,Maxwell – V-103 Winterfest,2022-12-16,State Farm Arena,Grammy Award-winning artist Maxwell will headline “V-103 Winterfest” in Atlanta at the award-winning State Farm…
2920,"Low, How a Rose: An Advent Songfest",2022-12-16,St. Luke’s Episcopal Church,Amethyst Baroque Ensemble celebrates Advent through music that dates as far back as the 16th…
2921,Holiday in the Park,2022-12-16,Six Flags Over Georgia,Celebrate the holiday season with a symphony of music and dancing lights. See the Christmas…
2922,Igloos on the Roof,2022-12-16,9 Mile Station,"Cozy up this holiday season in private, six-person igloos on Ponce City Market’s Roof, located…"
2923,Louis C.K. Live,2022-12-16,Fox Theatre,Six-time Emmy Award winner Louis C.K. returns to the Fox Theatre on December 16th.
2924,Excitable (Tribute to Def Leppard) w/ Poison’us,2022-12-16,37 Main Avondale Estates,Excitable The Def Leppard Experience Facebook About: Excitable brings you a high energy tribute to…
2925,FIFA World Cup 2022™ Watch Parties,2022-12-17,Multiple Locations,"Throughout the 2022 FIFA World Cup™, Atlanta United will be taking over local pubs to…"
2926,Spruill Gallery Holiday Artists Market,2022-12-17,Spruill Gallery,"This well-loved Holiday Artist’s Market kicks off on Nov. 16 with high quality, handcrafted goods…"
2927,Rudolph the Red-Nosed Reindeer,2022-12-17,Center For Puppetry Arts,A Holiday Classic Returns to the Stage Based on the classic television special Adapted by…
2928,Igloos on The Roof,2022-12-17,Ponce City Market,"It’s the most wonderful time of the year! Reserve one of our cozy, private igloos,…"
2929,WildWoods AGLOW,2022-12-17,Fernbank Museum of Natural History,"This all-new, limited-run nighttime experience offers a different experience within WildWoods, a 10-acre natural habitat…"
