,Event,Dates,Location,Description
3103,PAW Patrol: Adventure Play,2022-12-15,Children’s Museum of Atlanta,"Adventure Bay is coming to CMA! PAW Patrol: Adventure Play opens Saturday, September 24. Join…"
3104,Gurl Mobb Museum- Selfie museum in Atlanta,2022-12-15,Gurl Mobb Museum,Atlanta’s ULTIMATE SELFIE MUSEUM FOR GIRL BOSSES! 20 Pluses Content Rooms
3105,The Rink at Park Tavern,2022-12-15,Park Tavern,"This holiday season, Park Tavern in Piedmont Park is bringing back the power of miracles,…"
3106,Holiday Catering with Grecian Gyro,2022-12-15,Multiple Locations,Share the gift of Grecian Gyro with all this holiday season! The Koulouris family and…
3107,Holiday in the Park,2022-12-15,Six Flags Over Georgia,Celebrate the holiday season with a symphony of music and dancing lights. See the Christmas…
3108,Cirque Du Soleil – Kurios,2022-12-16,Atlantic Station,"Critically acclaimed the world over, KURIOS—Cabinet of curiosities astonishingly revisits the signature Cirque du Soleil…"
3109,Stephen Burks Shelter in Place,2022-12-16,High Museum of Art,"In the wake of several global crises, designers have responded by redefining our relationship to…"
3110,Illuminights at the Zoo: Chinese Lantern Festival,2022-12-16,Zoo Atlanta,Atlanta’s newest holiday tradition is back and better than ever. Zoo Atlanta partners with Hanart…
3111,Spruill Gallery Holiday Artists Market,2022-12-16,Spruill Gallery,"This well-loved Holiday Artist’s Market kicks off on Nov. 16 with high quality, handcrafted goods…"
3112,The Colors of Peace Exhibit,2022-12-16,Jimmy Carter Presidential Library & Museum,"Bringing together 270+ artworks created by children from around the world, the exhibition is a…"
3113,Celebration at the Station,2022-12-16,Atlantic Green,Start a new holiday tradition with friends and family and gather around the dazzling tree…
3114,Excitable (Tribute to Def Leppard) w/ Poison’us,2022-12-16,37 Main Avondale Estates,Excitable The Def Leppard Experience Facebook About: Excitable brings you a high energy tribute to…
3115,Louis C.K. Live,2022-12-16,Fox Theatre,Six-time Emmy Award winner Louis C.K. returns to the Fox Theatre on December 16th.
3116,Waking Wonderland: An Immersive Experience,2022-12-16,Illuminarium Atlanta,"Waking Wonderland is an interactive adventure that invites you on a dreamlike journey, inspired by…"
3117,Holiday Catering with Grecian Gyro,2022-12-16,Multiple Locations,Share the gift of Grecian Gyro with all this holiday season! The Koulouris family and…
3118,Rudolph the Red-Nosed Reindeer,2022-12-16,Center For Puppetry Arts,A Holiday Classic Returns to the Stage Based on the classic television special Adapted by…
3119,Reindeer Road by World of Illumination,2022-12-16,Six Flags WHITE WATER,A merrily magical journey Grab your sled and join World of Illumination on a trek…
3120,Midtown Atlanta Food and Cocktail Tour,2022-12-16,Saint Mark United Methodist Church,Indulge in an eclectic array of cuisine & cocktails on this insider’s walking food &…
3121,Aldabra Tortoise Wild Encounter,2022-12-16,Zoo Atlanta,Meet the ancient giants of Aldabra Atoll. See and feed one of the world’s largest living tortoise species in…
3122,Stranger Things: The Experience,2022-12-16,Pullman Yards,Stranger Things: The Experience is an immersive in Atlanta based on the iconic Netflix show….
3123,Claude Monet Immersive Exhibit,2022-12-16,"Exhibition Hub, Atlanta Art Center",Have you ever dreamt of stepping into a painting? Embark on an astonishing journey through…
3124,Harry Potter: The Exhibition,2022-12-16,Purchase tickets online,Harry Potter: The Exhibition will make its second stop on its North American tour in…
3125,Atlanta Gladiators vs. Greenville Swamp Rabbits,2022-12-16,Gas South Arena,
3126,The Rink at Park Tavern,2022-12-16,Park Tavern,"This holiday season, Park Tavern in Piedmont Park is bringing back the power of miracles,…"
3127,“In Hope for a Better Future” Art Exhibition,2022-12-16,Hammonds House Museum,Hammonds House Museum closes out 2022 with a dynamic multi-medium exhibition by Atlanta-based artist Tracy…
3128,Holiday Sequel: A New Improv Comedy,2022-12-16,Village Theatre,Do you have a favorite holiday movie? Ever wish you could pitch the sequel? Well…
3129,Atlanta Ballet – The Nutcracker,2022-12-16,Cobb Energy Performing Arts Centre,Atlanta Ballet will return to the Cobb Energy Centre stage with it’s groundbreaking production of…
3130,PAW Patrol: Adventure Play,2022-12-16,Children’s Museum of Atlanta,"Adventure Bay is coming to CMA! PAW Patrol: Adventure Play opens Saturday, September 24. Join…"
3131,Winter Wonderland at Fernbank,2022-12-16,Fernbank Museum of Natural History,"Travel the world and embrace rich holiday traditions during Fernbank’s annual holiday exhibit, Winter Wonderland:…"
3132,Skate the Station,2022-12-16,Atlantic Station,Get into the holiday spirit at Atlanta’s largest ice-skating rink at Atlantic Station! Skate the…
3133,Shine Light Show at Coolray Field,2022-12-16,Coolray Field,"Making its debut at Coolray Field in Lawrenceville, GA this holiday season, Shine Light Show…"
3134,The Rink Powered By Pepsi Zero at Park Tavern,2022-12-16,Park Tavern,The Rink Powered By Pepsi Zero Opens Thanksgiving Weekend & Will Be Open Through MLK…
3135,Igloos on The Roof,2022-12-16,Ponce City Market,"It’s the most wonderful time of the year! Reserve one of our cozy, private igloos,…"
3136,World of Illumination,2022-12-16,Six Flags WHITE WATER,"World of Illumination brings a holiday light show, Reindeer Road, to Six Flags White Water…."
3137,Coca-Cola Fan Experience,2022-12-16,International Plaza at Georgia World Congress Center,"The Coca-Cola Fan Experience consists of music, band jamborees, food, drinks and special sponsor giveaways…."
3138,Holiday Lights at Brook Run Park,2022-12-16,Brook Run Park,
3139,A Christmas Carol,2022-12-16,Alliance Theatre,The Alliance Theatre’s beloved production A CHRISTMAS CAROL returns to The Coca-Cola Stage with its…
3140,Elephant Wild Encounter,2022-12-16,Zoo Atlanta,"No creature looms larger over the savanna than the African elephant, and you’ll agree when you…"
3141,WildWoods AGLOW,2022-12-16,Fernbank Museum of Natural History,"This all-new, limited-run nighttime experience offers a different experience within WildWoods, a 10-acre natural habitat…"
3142,Nan Griffith’s Murmurations/Migrations Mixed Media,2022-12-16,Alpharetta Arts Center,Nan Griffith shares a new and prolific period in her artistic journey. In an expression…
3143,CFHOF Honors 2022 Inductees with New Exhibit,2022-12-16,Chick-fil-A College Football Hall of Fame,
3144,Skate the Sky,2022-12-16,The Roof at Ponce City Market,"Back for a sixth year, The Roof at Ponce City Market invites guest to ‘Skate…"
3145,Maxwell – V-103 Winterfest,2022-12-16,State Farm Arena,Grammy Award-winning artist Maxwell will headline “V-103 Winterfest” in Atlanta at the award-winning State Farm…
3146,Thievery Corporation Live In Concert,2022-12-16,The Tabernacle,Electronic duo Thievery Corporation will be touring across America again later in 2022 promoting their…
3147,"Low, How a Rose: An Advent Songfest",2022-12-16,St. Luke’s Episcopal Church,Amethyst Baroque Ensemble celebrates Advent through music that dates as far back as the 16th…
3148,FIFA World Cup 2022™ Watch Parties,2022-12-16,Multiple Locations,"Throughout the 2022 FIFA World Cup™, Atlanta United will be taking over local pubs to…"
3149,Mingle & Jingle Christmas Bar,2022-12-16,Best End Brewery,We’re welcoming back the very FIRST & ONLY pop-up Christmas Bar in the West End…
3150,The Veranda Jewel Box,2022-12-16,Buckhead Village,Buckhead Village will welcome guests to step into a whimsical and immersive “jewel box” at…
3151,"Garden Lights, Holiday Nights",2022-12-16,"Atlanta Botanical Garden, Inc.","The 12th annual Garden Lights, Holiday Nights shines Nov. 12, 2022 – Jan. 14, 2023…."
3152,Deana Lawson Exhibit,2022-12-16,High Museum of Art,"Featuring work made over the past two decades, this exhibition is the first museum survey…"
3153,Igloos on the Roof,2022-12-16,9 Mile Station,"Cozy up this holiday season in private, six-person igloos on Ponce City Market’s Roof, located…"
3154,Holiday Tree Market in the Courtyard,2022-12-16,Ponce City Market,"Deck the halls with a holiday tree, garland and wreaths from Ponce City Market! Tradition…"
3155,Holiday in the Park,2022-12-16,Six Flags Over Georgia,Celebrate the holiday season with a symphony of music and dancing lights. See the Christmas…
3156,Giant Panda Wild Encounter,2022-12-16,Zoo Atlanta,Meet and feed one of Zoo Atlanta’s world-famous black-and-white bears during an exclusive behind-the-scenes encounter…
3157,CFHOF Honors 2022 Inductees with New Exhibit,2022-12-17,Chick-fil-A College Football Hall of Fame,
3158,The Veranda Jewel Box,2022-12-17,Buckhead Village,Buckhead Village will welcome guests to step into a whimsical and immersive “jewel box” at…
3159,FIFA World Cup 2022™ Watch Parties,2022-12-17,Multiple Locations,"Throughout the 2022 FIFA World Cup™, Atlanta United will be taking over local pubs to…"
3160,Holiday in the Park,2022-12-17,Six Flags Over Georgia,Celebrate the holiday season with a symphony of music and dancing lights. See the Christmas…
3161,Skate the Station,2022-12-17,Atlantic Station,Get into the holiday spirit at Atlanta’s largest ice-skating rink at Atlantic Station! Skate the…
3162,Igloos on the Roof,2022-12-17,9 Mile Station,"Cozy up this holiday season in private, six-person igloos on Ponce City Market’s Roof, located…"
3163,Selfie Saturdays with Santa,2022-12-17,Ponce City Market,Dash over to The Yard at Ponce City Market for a selfie with the jolly…
3164,Jason Isbell & Will Welch,2022-12-17,Fox Theatre,"Join American singer-songwriter, Jason Isbell, and GQ Magazine Global Editorial Director Will Welch, as they…"
3165,Terminus Student Company Presents: The Nutcracker,2022-12-17,Art Farm at Serenbe,Journey to the Land of the Sweets with Clara and Drosselmeyer! Terminus Student Company presents…
3166,Misfit DIY Wrapping Co.,2022-12-17,Ponce City Market,"Come one, come all and stop by Misfit DIY Wrapping Co. to jazz up gifts…"
3167,“In Hope for a Better Future” Art Exhibition,2022-12-17,Hammonds House Museum,Hammonds House Museum closes out 2022 with a dynamic multi-medium exhibition by Atlanta-based artist Tracy…
3168,Cirque Du Soleil – Kurios,2022-12-17,Atlantic Station,"Critically acclaimed the world over, KURIOS—Cabinet of curiosities astonishingly revisits the signature Cirque du Soleil…"
3169,PAW Patrol: Adventure Play,2022-12-17,Children’s Museum of Atlanta,"Adventure Bay is coming to CMA! PAW Patrol: Adventure Play opens Saturday, September 24. Join…"
3170,The Rink at Park Tavern,2022-12-17,Park Tavern,"This holiday season, Park Tavern in Piedmont Park is bringing back the power of miracles,…"
3171,"Garden Lights, Holiday Nights",2022-12-17,"Atlanta Botanical Garden, Inc.","The 12th annual Garden Lights, Holiday Nights shines Nov. 12, 2022 – Jan. 14, 2023…."
3172,Winter Wonderland at Fernbank,2022-12-17,Fernbank Museum of Natural History,"Travel the world and embrace rich holiday traditions during Fernbank’s annual holiday exhibit, Winter Wonderland:…"
3173,A Christmas Carol,2022-12-17,Alliance Theatre,The Alliance Theatre’s beloved production A CHRISTMAS CAROL returns to The Coca-Cola Stage with its…
3174,Fireside Roasting & Toasting Pods on the Yard,2022-12-17,Ponce City Market,Get warm and cozy with your nearest and dearest outside on The Yard this holiday…
3175,World of Illumination,2022-12-17,Six Flags WHITE WATER,"World of Illumination brings a holiday light show, Reindeer Road, to Six Flags White Water…."
3176,Holiday Tree Market in the Courtyard,2022-12-17,Ponce City Market,"Deck the halls with a holiday tree, garland and wreaths from Ponce City Market! Tradition…"
3177,Harry Potter: The Exhibition,2022-12-17,Purchase tickets online,Harry Potter: The Exhibition will make its second stop on its North American tour in…
3178,Holiday Lights at Brook Run Park,2022-12-17,Brook Run Park,
3179,Spruill Gallery Holiday Artists Market,2022-12-17,Spruill Gallery,"This well-loved Holiday Artist’s Market kicks off on Nov. 16 with high quality, handcrafted goods…"
3180,Stranger Things: The Experience,2022-12-17,Pullman Yards,Stranger Things: The Experience is an immersive in Atlanta based on the iconic Netflix show….
3181,2022 Cricket Celebration Bowl,2022-12-17,Mercedes-Benz Stadium,The Cricket Celebration Bowl is a postseason college football game featuring the conference champions from…
3182,Illuminights at the Zoo: Chinese Lantern Festival,2022-12-17,Zoo Atlanta,Atlanta’s newest holiday tradition is back and better than ever. Zoo Atlanta partners with Hanart…
3183,Atlanta Ballet – The Nutcracker,2022-12-17,Cobb Energy Performing Arts Centre,Atlanta Ballet will return to the Cobb Energy Centre stage with it’s groundbreaking production of…
3184,Holiday “In”,2022-12-17,Woodruff Arts Center – Rich Auditorium,"After the past two years of there being no place BUT home for the holidays,…"
3185,Teddy Swims Live In Concert,2022-12-17,Buckhead Theatre,"Teddy Swims will perform live at Buckhead Theatre on Sat, Dec 17 at 7:35pm."
3186,WildWoods AGLOW,2022-12-17,Fernbank Museum of Natural History,"This all-new, limited-run nighttime experience offers a different experience within WildWoods, a 10-acre natural habitat…"
3187,Elephant Wild Encounter,2022-12-17,Zoo Atlanta,"No creature looms larger over the savanna than the African elephant, and you’ll agree when you…"
3188,Igloos on The Roof,2022-12-17,Ponce City Market,"It’s the most wonderful time of the year! Reserve one of our cozy, private igloos,…"
3189,Deana Lawson Exhibit,2022-12-17,High Museum of Art,"Featuring work made over the past two decades, this exhibition is the first museum survey…"
3190,Stephen Burks Shelter in Place,2022-12-17,High Museum of Art,"In the wake of several global crises, designers have responded by redefining our relationship to…"
3191,Christmas Spectacular at Free Chapel,2022-12-17,Free Chapel Gainesville,"Kick off the Christmas season with an unforgettable live production including Christmas musical favorites, live…"
3192,Celebration at the Station,2022-12-17,Atlantic Green,Start a new holiday tradition with friends and family and gather around the dazzling tree…
3193,The Colors of Peace Exhibit,2022-12-17,Jimmy Carter Presidential Library & Museum,"Bringing together 270+ artworks created by children from around the world, the exhibition is a…"
3194,Giant Panda Wild Encounter,2022-12-17,Zoo Atlanta,Meet and feed one of Zoo Atlanta’s world-famous black-and-white bears during an exclusive behind-the-scenes encounter…
3195,Mingle & Jingle Christmas Bar,2022-12-17,Best End Brewery,We’re welcoming back the very FIRST & ONLY pop-up Christmas Bar in the West End…
3196,Atlanta Brewery Tour,2022-12-17,Iron Hill Brewery – Buckhead,Tour by Southern Culinary Tours! Join us as we visit three of Atlanta’s best breweries….
3197,Holiday Catering with Grecian Gyro,2022-12-17,Multiple Locations,Share the gift of Grecian Gyro with all this holiday season! The Koulouris family and…
3198,Skate the Sky,2022-12-17,The Roof at Ponce City Market,"Back for a sixth year, The Roof at Ponce City Market invites guest to ‘Skate…"
3199,Shine Light Show at Coolray Field,2022-12-17,Coolray Field,"Making its debut at Coolray Field in Lawrenceville, GA this holiday season, Shine Light Show…"
3200,Rudolph the Red-Nosed Reindeer,2022-12-17,Center For Puppetry Arts,A Holiday Classic Returns to the Stage Based on the classic television special Adapted by…
3201,Holiday Shop & Strolls,2022-12-17,Buckhead Village,Buckhead Village’s Shop & Stroll series will invite guests to enjoy an open-air dining and…
3202,Waking Wonderland: An Immersive Experience,2022-12-17,Illuminarium Atlanta,"Waking Wonderland is an interactive adventure that invites you on a dreamlike journey, inspired by…"
3203,Midtown Atlanta Food and Cocktail Tour,2022-12-17,Saint Mark United Methodist Church,Indulge in an eclectic array of cuisine & cocktails on this insider’s walking food &…
3204,The Rink Powered By Pepsi Zero at Park Tavern,2022-12-17,Park Tavern,The Rink Powered By Pepsi Zero Opens Thanksgiving Weekend & Will Be Open Through MLK…
3205,Claude Monet Immersive Exhibit,2022-12-17,"Exhibition Hub, Atlanta Art Center",Have you ever dreamt of stepping into a painting? Embark on an astonishing journey through…
3206,Home for the Holidays Tours at The Wren’s Nest,2022-12-17,The Wren’s Nest,Take a festive step back in time at Atlanta’s oldest house museum. For three Saturdays…
3207,Pet Vaccination and Microchip Clinic,2022-12-17,Furkids Animal Rescue and Shelters,Join us for our monthly Vaccination and Microchip Clinic! Our clinic is held monthly at…
3208,Aldabra Tortoise Wild Encounter,2022-12-17,Zoo Atlanta,Meet the ancient giants of Aldabra Atoll. See and feed one of the world’s largest living tortoise species in…
3209,Reindeer Road by World of Illumination,2022-12-17,Six Flags WHITE WATER,A merrily magical journey Grab your sled and join World of Illumination on a trek…
3210,Nan Griffith’s Murmurations/Migrations Mixed Media,2022-12-17,Alpharetta Arts Center,Nan Griffith shares a new and prolific period in her artistic journey. In an expression…
3211,CHRISTMAS EXTRAVAGANZA POPUP SHOP,2022-12-17,WEBB GINN FORUM,"ITS THE CHRISTMAS EXTRAVAGANZA POPUP SHOP! Join us Saturday, December 17th, for a Fabulous afternoon…"
3212,Beyond Recall (90s & Alternative Rock),2022-12-17,37 Main Buford,"Beyond Recall is a rock band from the metro Atlanta area specializing in 90s, 2000s…"
3213,2nd Annual Ugly Sweater Crawl: Roswell,2022-12-17,Downtown Roswell,"Join us for the 2nd Annual Ugly Sweater Crawl! Get that Goodwill sweater, find those…"
3214,Sunday Spiritual Festival,2022-12-18,Krishna Life Temple and Monastery,"Come and experience the association of practicing monks. Meditate, Dance, hear words of wisdom and…"
3215,Mingle & Jingle Christmas Bar,2022-12-18,Best End Brewery,We’re welcoming back the very FIRST & ONLY pop-up Christmas Bar in the West End…
3216,The Veranda Jewel Box,2022-12-18,Buckhead Village,Buckhead Village will welcome guests to step into a whimsical and immersive “jewel box” at…
3217,Holiday Tree Market in the Courtyard,2022-12-18,Ponce City Market,"Deck the halls with a holiday tree, garland and wreaths from Ponce City Market! Tradition…"
3218,Stranger Things: The Experience,2022-12-18,Pullman Yards,Stranger Things: The Experience is an immersive in Atlanta based on the iconic Netflix show….
3219,Misfit DIY Wrapping Co.,2022-12-18,Ponce City Market,"Come one, come all and stop by Misfit DIY Wrapping Co. to jazz up gifts…"
3220,Winter Wonderland at Fernbank,2022-12-18,Fernbank Museum of Natural History,"Travel the world and embrace rich holiday traditions during Fernbank’s annual holiday exhibit, Winter Wonderland:…"
3221,Celebration at the Station,2022-12-18,Atlantic Green,Start a new holiday tradition with friends and family and gather around the dazzling tree…
3222,Rudolph the Red-Nosed Reindeer,2022-12-18,Center For Puppetry Arts,A Holiday Classic Returns to the Stage Based on the classic television special Adapted by…
3223,Atlanta Ballet – The Nutcracker,2022-12-18,Cobb Energy Performing Arts Centre,Atlanta Ballet will return to the Cobb Energy Centre stage with it’s groundbreaking production of…
3224,Holiday Catering with Grecian Gyro,2022-12-18,Multiple Locations,Share the gift of Grecian Gyro with all this holiday season! The Koulouris family and…
3225,Christmas Spectacular at Free Chapel,2022-12-18,Free Chapel Gainesville,"Kick off the Christmas season with an unforgettable live production including Christmas musical favorites, live…"
3226,Harry Potter: The Exhibition,2022-12-18,Purchase tickets online,Harry Potter: The Exhibition will make its second stop on its North American tour in…
3227,FIFA World Cup 2022™ Watch Parties,2022-12-18,Multiple Locations,"Throughout the 2022 FIFA World Cup™, Atlanta United will be taking over local pubs to…"
3228,PAW Patrol: Adventure Play,2022-12-18,Children’s Museum of Atlanta,"Adventure Bay is coming to CMA! PAW Patrol: Adventure Play opens Saturday, September 24. Join…"
3229,Illuminights at the Zoo: Chinese Lantern Festival,2022-12-18,Zoo Atlanta,Atlanta’s newest holiday tradition is back and better than ever. Zoo Atlanta partners with Hanart…
3230,The Colors of Peace Exhibit,2022-12-18,Jimmy Carter Presidential Library & Museum,"Bringing together 270+ artworks created by children from around the world, the exhibition is a…"
3231,Elephant Wild Encounter,2022-12-18,Zoo Atlanta,"No creature looms larger over the savanna than the African elephant, and you’ll agree when you…"
3232,Stephen Burks Shelter in Place,2022-12-18,High Museum of Art,"In the wake of several global crises, designers have responded by redefining our relationship to…"
3233,The Santa Hustle Atlanta,2022-12-18,ASW Distillery,"There will be cookies, candy, and music, and Santa is bringing coziness to the swag…"
3234,HoliDaze Slow Flow Yoga with Jess Pfeffer,2022-12-18,Ponce City Market,HoliDaze Slow Flow Yoga with Jess Pfeffer at Allbirds Ponce City Market J﻿oin us for…
3235,Skate the Sky,2022-12-18,The Roof at Ponce City Market,"Back for a sixth year, The Roof at Ponce City Market invites guest to ‘Skate…"
3236,Nan Griffith’s Murmurations/Migrations Mixed Media,2022-12-18,Alpharetta Arts Center,Nan Griffith shares a new and prolific period in her artistic journey. In an expression…
3237,Holiday Lights at Brook Run Park,2022-12-18,Brook Run Park,
3238,Holiday “In”,2022-12-18,Woodruff Arts Center – Rich Auditorium,"After the past two years of there being no place BUT home for the holidays,…"
3239,CFHOF Honors 2022 Inductees with New Exhibit,2022-12-18,Chick-fil-A College Football Hall of Fame,
3240,Shine Light Show at Coolray Field,2022-12-18,Coolray Field,"Making its debut at Coolray Field in Lawrenceville, GA this holiday season, Shine Light Show…"
3241,"Garden Lights, Holiday Nights",2022-12-18,"Atlanta Botanical Garden, Inc.","The 12th annual Garden Lights, Holiday Nights shines Nov. 12, 2022 – Jan. 14, 2023…."
3242,Flamenco & Paella – Holiday Edition,2022-12-18,Bravo! Venue,Celebrate the Holiday Season with Flamenco & Paella! Enjoy authentic Spanish paellas by The Spaniard…
3243,Holiday in the Park,2022-12-18,Six Flags Over Georgia,Celebrate the holiday season with a symphony of music and dancing lights. See the Christmas…
3244,Igloos on The Roof,2022-12-18,Ponce City Market,"It’s the most wonderful time of the year! Reserve one of our cozy, private igloos,…"
3245,Holiday Hoopsgiving 2022,2022-12-18,State Farm Arena,Holiday Hoopsgiving College edition is a men’s basketball showcase that has historically been ranked as…
3246,Giant Panda Wild Encounter,2022-12-18,Zoo Atlanta,Meet and feed one of Zoo Atlanta’s world-famous black-and-white bears during an exclusive behind-the-scenes encounter…
3247,Midtown Atlanta Food and Cocktail Tour,2022-12-18,Saint Mark United Methodist Church,Indulge in an eclectic array of cuisine & cocktails on this insider’s walking food &…
3248,Claude Monet Immersive Exhibit,2022-12-18,"Exhibition Hub, Atlanta Art Center",Have you ever dreamt of stepping into a painting? Embark on an astonishing journey through…
3249,Christmas EXTRAVAGANZA Popup Shop,2022-12-18,WEBB GINN FORUM,Come shop for the holiday season with Empowered Women Empower!
3250,The Rink at Park Tavern,2022-12-18,Park Tavern,"This holiday season, Park Tavern in Piedmont Park is bringing back the power of miracles,…"
3251,Spruill Gallery Holiday Artists Market,2022-12-18,Spruill Gallery,"This well-loved Holiday Artist’s Market kicks off on Nov. 16 with high quality, handcrafted goods…"
3252,Waking Wonderland: An Immersive Experience,2022-12-18,Illuminarium Atlanta,"Waking Wonderland is an interactive adventure that invites you on a dreamlike journey, inspired by…"
3253,WildWoods AGLOW,2022-12-18,Fernbank Museum of Natural History,"This all-new, limited-run nighttime experience offers a different experience within WildWoods, a 10-acre natural habitat…"
3254,Deana Lawson Exhibit,2022-12-18,High Museum of Art,"Featuring work made over the past two decades, this exhibition is the first museum survey…"
3255,FIFA World Cup 2022™ Final Watch Party,2022-12-18,Roxy Theater,There is no better spot to watch the final match. Join fellow 17s at the…
3256,“In Hope for a Better Future” Art Exhibition,2022-12-18,Hammonds House Museum,Hammonds House Museum closes out 2022 with a dynamic multi-medium exhibition by Atlanta-based artist Tracy…
3257,Cirque Du Soleil – Kurios,2022-12-18,Atlantic Station,"Critically acclaimed the world over, KURIOS—Cabinet of curiosities astonishingly revisits the signature Cirque du Soleil…"
3258,Skate the Station,2022-12-18,Atlantic Station,Get into the holiday spirit at Atlanta’s largest ice-skating rink at Atlantic Station! Skate the…
3259,The Rink Powered By Pepsi Zero at Park Tavern,2022-12-18,Park Tavern,The Rink Powered By Pepsi Zero Opens Thanksgiving Weekend & Will Be Open Through MLK…
3260,World of Illumination,2022-12-18,Six Flags WHITE WATER,"World of Illumination brings a holiday light show, Reindeer Road, to Six Flags White Water…."
3261,Fireside Roasting & Toasting Pods on the Yard,2022-12-18,Ponce City Market,Get warm and cozy with your nearest and dearest outside on The Yard this holiday…
3262,Atlanta Gladiators vs. Savannah Ghost Pirates,2022-12-18,Gas South Arena,
3263,Igloos on the Roof,2022-12-18,9 Mile Station,"Cozy up this holiday season in private, six-person igloos on Ponce City Market’s Roof, located…"
3264,Reindeer Road by World of Illumination,2022-12-18,Six Flags WHITE WATER,A merrily magical journey Grab your sled and join World of Illumination on a trek…
3265,Nan Griffith’s Murmurations/Migrations Mixed Media,2022-12-19,Alpharetta Arts Center,Nan Griffith shares a new and prolific period in her artistic journey. In an expression…
3266,Celebration at the Station,2022-12-19,Atlantic Green,Start a new holiday tradition with friends and family and gather around the dazzling tree…
3267,Igloos on the Roof,2022-12-19,9 Mile Station,"Cozy up this holiday season in private, six-person igloos on Ponce City Market’s Roof, located…"
3268,Waking Wonderland: An Immersive Experience,2022-12-19,Illuminarium Atlanta,"Waking Wonderland is an interactive adventure that invites you on a dreamlike journey, inspired by…"
3269,World of Illumination,2022-12-19,Six Flags WHITE WATER,"World of Illumination brings a holiday light show, Reindeer Road, to Six Flags White Water…."
3270,Spruill Gallery Holiday Artists Market,2022-12-19,Spruill Gallery,"This well-loved Holiday Artist’s Market kicks off on Nov. 16 with high quality, handcrafted goods…"
3271,Claude Monet Immersive Exhibit,2022-12-19,"Exhibition Hub, Atlanta Art Center",Have you ever dreamt of stepping into a painting? Embark on an astonishing journey through…
3272,The Rink at Park Tavern,2022-12-19,Park Tavern,"This holiday season, Park Tavern in Piedmont Park is bringing back the power of miracles,…"
3273,PAW Patrol: Adventure Play,2022-12-19,Children’s Museum of Atlanta,"Adventure Bay is coming to CMA! PAW Patrol: Adventure Play opens Saturday, September 24. Join…"
3274,Igloos on The Roof,2022-12-19,Ponce City Market,"It’s the most wonderful time of the year! Reserve one of our cozy, private igloos,…"
3275,Reindeer Road by World of Illumination,2022-12-19,Six Flags WHITE WATER,A merrily magical journey Grab your sled and join World of Illumination on a trek…
3276,Winter Wonderland at Fernbank,2022-12-19,Fernbank Museum of Natural History,"Travel the world and embrace rich holiday traditions during Fernbank’s annual holiday exhibit, Winter Wonderland:…"
3277,Harry Potter: The Exhibition,2022-12-19,Purchase tickets online,Harry Potter: The Exhibition will make its second stop on its North American tour in…
3278,Giant Panda Wild Encounter,2022-12-19,Zoo Atlanta,Meet and feed one of Zoo Atlanta’s world-famous black-and-white bears during an exclusive behind-the-scenes encounter…
3279,Stranger Things: The Experience,2022-12-19,Pullman Yards,Stranger Things: The Experience is an immersive in Atlanta based on the iconic Netflix show….
3280,Holiday Catering with Grecian Gyro,2022-12-19,Multiple Locations,Share the gift of Grecian Gyro with all this holiday season! The Koulouris family and…
3281,"Garden Lights, Holiday Nights",2022-12-19,"Atlanta Botanical Garden, Inc.","The 12th annual Garden Lights, Holiday Nights shines Nov. 12, 2022 – Jan. 14, 2023…."
3282,The Rink Powered By Pepsi Zero at Park Tavern,2022-12-19,Park Tavern,The Rink Powered By Pepsi Zero Opens Thanksgiving Weekend & Will Be Open Through MLK…
3283,CFHOF Honors 2022 Inductees with New Exhibit,2022-12-19,Chick-fil-A College Football Hall of Fame,
3284,The Veranda Jewel Box,2022-12-19,Buckhead Village,Buckhead Village will welcome guests to step into a whimsical and immersive “jewel box” at…
3285,Aldabra Tortoise Wild Encounter,2022-12-19,Zoo Atlanta,Meet the ancient giants of Aldabra Atoll. See and feed one of the world’s largest living tortoise species in…
3286,Illuminights at the Zoo: Chinese Lantern Festival,2022-12-19,Zoo Atlanta,Atlanta’s newest holiday tradition is back and better than ever. Zoo Atlanta partners with Hanart…
3287,Holiday Lights at Brook Run Park,2022-12-19,Brook Run Park,
3288,Skate the Station,2022-12-19,Atlantic Station,Get into the holiday spirit at Atlanta’s largest ice-skating rink at Atlantic Station! Skate the…
3289,The Colors of Peace Exhibit,2022-12-19,Jimmy Carter Presidential Library & Museum,"Bringing together 270+ artworks created by children from around the world, the exhibition is a…"
3290,Shine Light Show at Coolray Field,2022-12-19,Coolray Field,"Making its debut at Coolray Field in Lawrenceville, GA this holiday season, Shine Light Show…"
3291,Holiday in the Park,2022-12-19,Six Flags Over Georgia,Celebrate the holiday season with a symphony of music and dancing lights. See the Christmas…
3292,Rudolph the Red-Nosed Reindeer,2022-12-19,Center For Puppetry Arts,A Holiday Classic Returns to the Stage Based on the classic television special Adapted by…
3293,Winter Safari Camp,2022-12-19,Zoo Atlanta,We are here to engage and excite your young learners ages 5-11 during Winter Break!…
3294,Atlanta Hawks vs. Orlando Magic,2022-12-19,State Farm Arena,
3295,WildWoods AGLOW,2022-12-19,Fernbank Museum of Natural History,"This all-new, limited-run nighttime experience offers a different experience within WildWoods, a 10-acre natural habitat…"
3296,Skate the Sky,2022-12-19,The Roof at Ponce City Market,"Back for a sixth year, The Roof at Ponce City Market invites guest to ‘Skate…"
